name,money_raised,announced_date,location,industries,description,funding_type,lead_investors,total_funding
Daedalean,"CHF11,800,000","Jul 29, 2019","Zürich, Zurich, Switzerland, Europe","Aerospace, Air Transportation, Artificial Intelligence (AI), Autonomous Vehicles, Computer Vision, Machine Learning, Software",Daedalean is building autonomous piloting software systems for civil aircraft of today and advanced aerial mobility of tomorrow.,Venture - Series Unknown,Carthona Capital,"$72,511,531"
Ascendance Flight Technologies,"€10,000,000","Sep 15, 2021","Toulouse, Midi-Pyrenees, France, Europe","Aerospace, Air Transportation, CleanTech, Drones, Hardware, Transportation",Sustainable flight solutions for today & tomorrow... Because cleaner aviation can't wait!,Venture - Series Unknown,—,"€33,000,000"
Launcher,"$11,700,000","Feb 6, 2021","Hawthorne, California, United States, North America","3D Printing, Aerospace",Launcher is developing the world’s most efficient rocket to deliver small satellites to orbit.,Series A,"Boost VC, Max Haot","$14,900,000"
legalstart.fr,"€10,000,000","Mar 12, 2019","Paris, Ile-de-France, France, Europe","Business Development, Law Enforcement, Legal, Legal Tech, Professional Services",Legalstart.fr is an automatic generation Internet platform that manages legal documents and links with lawyers.,Venture - Series Unknown,Isai,"€10,000,000"
Atmo,"$11,200,000","Nov 30, 2022","San Francisco, California, United States, North America","Artificial Intelligence (AI), Government, Information Technology, Machine Learning, Military, Software",Ultra-precise AI weather forecasts for governments and enterprises.,Seed,—,"$11,200,000"
Overwatch Imaging,"$11,150,000","Apr 5, 2022","Hood River, Oregon, United States, North America","Aerospace, Artificial Intelligence (AI), Drones, Navigation, Photography",Overwatch Imaging designs and manufactures imaging systems with custom onboard AI software for piloted aircraft and drones.,Series A,"Shield Capital, Squadra Ventures","$11,150,000"
Wilder Systems,"$11,059,080","Aug 18, 2023","Austin, Texas, United States, North America","Aerospace, Air Transportation, Robotics",Wilder Systems is a robotics and automation company that specializes in the aerospace industry.,Venture - Series Unknown,—,"$16,283,802"
Accion Systems,"$11,000,000","Feb 4, 2020","Boston, Massachusetts, United States, North America","Aerospace, Hardware, Manufacturing, Product Design",Accion Systems provides in-space propulsion systems for satellites based on proprietary technology developed at MIT.,Series B,"Boeing HorizonX Ventures, Shasta Ventures","$68,500,000"
Dufour Aerospace,"CHF10,000,000","Apr 22, 2021","Visp, Valais, Switzerland, Europe","Aerospace, Air Transportation, CleanTech, Electric Vehicle, Manufacturing",Dufour Aerospace is an aviation company that developed aerobatic aircraft and focuses on developing next-generation electric aircraft.,Series A,Session.vc,"$10,984,853"
Shark Robotics,"€10,000,000","Jan 16, 2023","La Rochelle, Poitou-Charentes, France, Europe","Aerospace, Military, Public Safety, Robotics",Shark Robotics is a robotics and UGV company that creates terrestrial robots for defence and space sectors purposes.,Venture - Series Unknown,Move Capital,"€10,000,000"
Unifly,"€10,000,000","May 4, 2022","Antwerp, Antwerpen, Belgium, Europe","Aerospace, Drone Management, Drones, Mobile Apps, Navigation, Robotics, Smart Cities, Software, Software Engineering",Unifly is a provider of an Unmanned Traffic Management platform allowing the safe integration of drones into the airspace.,Series B,—,"€33,200,000"
Operational Solutions,"£8,000,000","Dec 14, 2021","London, England, United Kingdom, Europe","Aerospace, Manufacturing, Security","Operational Solutions is a company that provides tailored Subject Matter Expertise to the Defence, Security and Aerospace industry.",Venture - Series Unknown,Business Growth Fund,"£11,500,000"
Latitude,"€10,000,000","Jun 30, 2022","Reims, Champagne-Ardenne, France, Europe","Aerospace, Space Travel","Latitude, formerly known as Venture Orbital Systems, is a space technology company that offers launch solution for smallsats",Series A,—,"€37,850,000"
Casetext,"$10,314,620","Mar 29, 2019","San Francisco, California, United States, North America","Artificial Intelligence (AI), Law Enforcement, Legal, Legal Tech, Machine Learning, Software","Casetext is an AI legal research technology for litigators, helping researchers find cases.",Venture - Series Unknown,—,"$64,344,579"
B GARAGE,"₩12,100,000,000","Dec 14, 2021","San Jose, California, United States, North America","Aerospace, Drones, Hardware, Industrial Automation, Information Technology, Logistics, Robotics, Software",B GARAGE is an autonomous drone and service company for warehouse inventory management.,Seed,—,"$30,208,997"
Quantum Systems,"€8,340,000","Mar 2, 2021","Gilching, Bayern, Germany, Europe","Aerospace, Agriculture, Mapping Services, Robotics","Unmanned aerial systems, drones, UAV",Series A,10x Group,"$166,614,172"
Equitus,"$10,018,443","Mar 1, 2022","Clearwater, Florida, United States, North America","Analytics, Artificial Intelligence (AI), Information Technology, Internet, Military","Equitus designs, builds, and delivers cutting-edge big data platforms.",Venture - Series Unknown,—,"$10,018,443"
HawkEye 360,"$10,000,000","Oct 18, 2023","Herndon, Virginia, United States, North America","Aerospace, Analytics, Wireless",HawkEye 360 is a data analytics company that develops space-based radio frequency mapping.,Series D,Lockheed Martin Ventures,"$412,300,000"
Elysian Aircraft,"$10,000,000","Jan 10, 2024","Mijdrecht, Utrecht, The Netherlands, Europe",Aerospace,Elysian Aircraft is a Dutch aviation startup working on a 90-passenger battery-electric plane.,Venture - Series Unknown,—,"$10,000,000"
Inversion,"$10,000,000","Nov 16, 2021","Los Angeles, California, United States, North America","Aerospace, Space Travel, Transportation","Inversion builds space capsules to return cargo back to Earth for the commercial, civil, and defense industries.",Seed,Spark Capital,"$10,000,000"
Airspace Link,"$10,000,000","May 27, 2021","Detroit, Michigan, United States, North America","Aerospace, Drone Management, Geospatial, Government, Mapping Services",Airspace Link is an FAA approved UAS/Drone Low Altitude Authorization and Notification Capability (LAANC) Platform,Series A,Altos Ventures,"$41,000,070"
Lunasonde,"$10,000,000","Mar 1, 2022","Cortaro, Arizona, United States, North America","Aerospace, Service Industry",Lunasonde Provides Aviation And Aerospace Component Manufacturing Services.,Seed,—,"$11,600,000"
Xwing,"$10,000,000","May 20, 2020","San Francisco, California, United States, North America","Aerospace, Industrial Engineering, Software",Xwing is an autonomous aviation company building a network of autonomous aircraft for regional distances.,Series A,"Alven, R7 Partners","$54,000,000"
Frontier Aerospace,"$10,000,000","Mar 15, 2023","Simi Valley, California, United States, North America","Aerospace, Geospatial, Space Travel","Frontier Aerospace focuses on conceptualizing, designing, and proving-out innovative in-space.",Series A,AEI Horizon X,"$15,500,019"
Orbit Fab,"$10,000,000","Sep 7, 2021","Lafayette, Colorado, United States, North America","Aerospace, Energy, Infrastructure, Manufacturing, Space Travel",Orbit Fab is a supplier of tankers and other infrastructure needed for in-space refueling of satellites.,Venture - Series Unknown,Asymmetry Ventures,"$42,167,713"
ThayerMahan,"$10,000,000","May 4, 2020","Groton, Connecticut, United States, North America","Information Technology, Marine Technology, National Security, Robotics",ThayerMahan is a provider of marine robotic solutions for the government and industry.,Venture - Series Unknown,AE Industrial Partners,"$62,259,982"
BlackBird,"$10,000,000","Jan 1, 2019","San Francisco, California, United States, North America","Aerospace, Air Transportation, Internet, Mobile Apps, Transportation",BlackBird is on a mission to make flying as convenient and affordable as driivng,Series A,New Enterprise Associates,"$15,034,999"
SkySelect,"$10,000,000","Jan 10, 2020","San Francisco, California, United States, North America","Aerospace, Air Transportation, Enterprise Software, Information Technology, Supply Chain Management",SkySelect is a parts procurement services and technology for $100B aircraft material industry,Series A,Lux Capital,"$12,800,000"
Bye Aerospace,"$10,000,000","Jul 13, 2020","Englewood, Colorado, United States, North America","Aerospace, Air Transportation, Consulting, Industrial Engineering, Renewable Energy","Bye Aerospace designs, builds, and markets electric-powered and solar-powered aircraft.",Series A,Fine Day Ventures,"$32,855,043"
Siren,"$10,000,000","Nov 14, 2019","Galway, Galway, Ireland, Europe","Analytics, Big Data, Data Visualization, Intelligent Systems, Law Enforcement, Natural Language Processing, Predictive Analytics, Public Safety, Search Engine, Software","Siren offers an Investigative Intelligence Platform that facilitates search, business intelligence, and information gathering.",Series A,Atlantic Bridge,"$27,456,861"
Wingtra,"$10,000,000","May 23, 2019","Zurich, Zurich, Switzerland, Europe","Aerospace, Drone Management, Drones, Manufacturing, Robotics",Wingtra is a manufacturer of professional mapping and surveying drones.,Series A,—,"$43,897,975"
Apex - Spacecraft Manufacturing,"$10,000,000","Oct 25, 2022","Los Angeles, California, United States, North America","Aerospace, Commercial, Manufacturing",Apex manufactures smallsat buses for commercial and government customers.,Seed,Andreessen Horowitz,"$27,000,000"
Muon Space,"$10,000,000","May 14, 2021","Mountain View, California, United States, North America","Aerospace, Information Services, Information Technology","Muon Space focuses on dense, scientific-grade measurements of the atmosphere, ocean, and land.",Seed,Costanoa Ventures,"$35,000,000"
Binalyze,"$10,000,000","Feb 4, 2022","Tallinn, Harjumaa, Estonia, Europe","Cyber Security, Information Technology, Law Enforcement, Software",Binalyze the world's fastest and most comprehensive DFIR platform to speed up cyber incident response and improve cyber resilience.,Seed,OpenOcean,"$30,813,796"
Orbital Sidekick,"$10,000,000","Jan 31, 2023","San Francisco, California, United States, North America","Aerospace, Information Technology, Satellite Communication",OSK is a satellite-based hyperspectral monitoring service helping organizations meet their sustainability and security goals.,Venture - Series Unknown,Energy Innovation Capital,"$46,774,998"
Street Smarts VR,"$10,000,000","Apr 19, 2023","New York, New York, United States, North America","Law Enforcement, Legal, Virtual Reality",Street Smarts VR is a veteran-owned virtual reality (VR) training platform.,Venture - Series Unknown,—,"$16,045,000"
Solestial,"$10,000,000","Oct 6, 2022","Tempe, Arizona, United States, North America","Aerospace, National Security, Renewable Energy, Solar, Space Travel","Solestial, Inc. is the solar energy company for space.",Seed,Airbus Ventures,"$13,094,529"
Seasats,"$10,000,000","Oct 19, 2022","San Diego, California, United States, North America","Artificial Intelligence (AI), Drones, Marine Technology, National Security, Robotics",Seasats: Effortless ocean data.,Seed,L3 Harris Technologies,"$10,010,000"
Clarke Valve,"$10,000,000","Mar 31, 2020","North Kingstown, Rhode Island, United States, North America","Aerospace, Electronics, Energy, Industrial, Manufacturing",Clarke Valve is a developer of energy-saving shutter valves designed to work in a variety of industrial and aerospace applications.,Series C,YBA Kanoo,"$35,017,500"
